prompt_id,prompt_text,aspect_ratio,style
geckio_pattern_harlequin,"Illustration tile inspired by Harlequin gecko markings, with high-contrast cream and brown side patterning, organic irregular patches, natural mottling and very soft scale-like texture. Warm earth tones with gentle gradients, editorial naturalistic look without realism. Soft beige background.",1:1,Illustration
geckio_pattern_flame,"Illustration tile inspired by Flame gecko dorsal patterning, with warm terracotta, orange and golden tones forming upward flame-like shapes over a darker brown base. Smooth natural transitions, subtle mottling, gentle scale hints, warm organic flow.",1:1,Illustration
geckio_pattern_pinstripe,"Illustration tile inspired by Pinstripe gecko patterning featuring two clean parallel cream or yellow dorsal lines on a medium brown base. Soft edges, slight irregularity, gentle natural gradients and minimal skin texture.",1:1,Illustration
geckio_pattern_reverse_pinstripe,"Illustration tile inspired by Reverse Pinstripe geckos, featuring two darker parallel stripes running along a lighter tan or cream dorsal field. Soft organic banding with gentle mottling and subtle texture.",1:1,Illustration
geckio_pattern_dalmatian,"Abstract Dalmatian gecko pattern tile with scattered irregular dark spots on a warm cream or tan base. Natural variation in spot size, soft edges, subtle mottling and minimal scale impressions. Warm, natural editorial look.",1:1,Illustration
geckio_pattern_super_dalmatian,"Dense spotted pattern tile inspired by Super Dalmatian geckos, with many irregular dark spots of varied sizes over a cream background. High density but natural distribution, soft edges and organic mottling.",1:1,Illustration
geckio_pattern_tiger,"Illustration tile inspired by Tiger gecko vertical striping, featuring layered irregular brown and tan stripes with soft edges, natural blending, and subtle mottling. Gentle reptile-skin texture without realism.",1:1,Illustration
geckio_pattern_brindle,"Abstract Brindle gecko pattern tile with broken vertical stripe fragments, overlapping warm browns and sand tones. Soft blended gradients, natural mottling, gentle scale-like texture.",1:1,Illustration
geckio_pattern_quadstripe,"Tile representing Quadstripe gecko patterning: four parallel cream lines (two dorsal, two lateral) on a medium brown base. Soft organic geometry, natural unevenness, warm editorial texture.",1:1,Illustration
geckio_pattern_phantom,"Low-contrast Phantom gecko pattern tile with muted brown and cream tones blending softly into each other. Very subtle markings, gentle gradients, natural mottling, quiet and understated aesthetic.",1:1,Illustration
geckio_pattern_lilly_white,"High-contrast Lilly White inspired tile with bright ivory and white rounded patches layered on a warm tan or light brown base. Smooth organic shapes, gentle transitions, soft reptile-skin texture.",1:1,Illustration
geckio_pattern_tricolor,"Tricolor gecko pattern tile featuring harmonized layers of warm brown, golden yellow and cream. Organic irregular shapes, distinct yet soft color transitions, natural mottling and subtle texture.",1:1,Illustration
geckio_pattern_extreme_harlequin,"Bold Extreme Harlequin inspired tile with strong contrast between bright cream, yellow and dark brown patches. Dynamic organic shapes, pronounced mottling, soft reptile-skin impression while staying non-realistic.",1:1,Illustration
