prompt_id,prompt_text,aspect_ratio,style
geckio_logo_01,"Minimal flat vector logo for Geckio. Modern geometric gecko silhouette formed by smooth, interlocking shapes. Clean sans-serif lowercase wordmark to the right. Subtle negative-space tail curve integrated into the letter g. Balanced and professional look, nature-inspired but modern tech aesthetic.",1:1,Graphic
geckio_logo_02,"Detailed vector logo of a stylized gecko outline with subtle body pattern abstraction in light geometry style. Smooth gradients and layered shapes for 3D illusion, still flat vector look. Ideal for hero section or merch.",16:9,Graphic
geckio_favicon_03,"Simplified flat icon of a curled gecko tail forming a circular swirl, in two-tone minimalist vector style. Clean, centered, single-color outline for favicon usage.",1:1,Graphic
geckio_habitat_04,"Soft editorial illustration of a small tropical terrarium with branches, moss, and sand. A gecko rests on a piece of driftwood under diffused sunlight. Warm earth tones, sand beige #E7D7B5, moss green #7A8B66, and muted turquoise #B9E2D1 hues. Matte texture, minimal shadows, clean background, no text.",4:3,Illustration
geckio_gecko_05,"Detailed but soft editorial vector illustration of a crested gecko perched on a branch. Focus on its characteristic eyelashes and prehensile tail. Natural colors (warm tan, light orange, moss green highlights). Diffused daylight, matte surface, light background.",1:1,Illustration
geckio_leopard_06,"Warm naturalistic illustration of a leopard gecko on sand, with spotted pattern clearly visible. Slight side angle, detailed texture on the skin, subtle soft lighting. Background minimal with pale sand tones and faint plant shadows.",1:1,Illustration
geckio_tokay_07,"Bright, stylized illustration of a Tokay gecko crawling along bark. Characteristic orange-blue spots on muted turquoise body. Natural matte style, high detail but friendly look suitable for educational pages.",1:1,Illustration
geckio_gargoyle_08,"Editorial illustration of a gargoyle gecko with textured rocky background. Focus on head ridges and marbled pattern. Earth brown #9E7C54 and muted green #7A8B66 tones dominate. Clean soft shadow, neutral background #F9F8F3, matte look.",1:1,Illustration
geckio_mascot_11,"Friendly cartoon-realistic gecko mascot in Geckio colors (sand beige #E7D7B5, moss green #7A8B66, muted turquoise #B9E2D1). Standing upright with expressive eyes and curved tail forming a spiral. Editorial style — soft light, matte texture, minimalist background.",1:1,Illustration
geckio_pattern_13,"Abstract organic background pattern inspired by reptile skin textures and leaf silhouettes. Sand beige #E7D7B5 base with faint moss green #7A8B66 shapes, hand-painted watercolor effect. Clean, seamless loop pattern.",1:1,Illustration
geckio_terrarium_14,"Shallow depth-of-field macro illustration of moss, leaves, and gecko footprint in sand. Natural lighting, warm tones, artistic yet subtle.",16:9,Illustration
