prompt_id,prompt_text,aspect_ratio,style
moodnose_icon_musk,"Editorial minimal vector icon of a soft fabric knot symbol for musk—gentle intertwined ribbon silhouette with rounded ends; flat fill; single clean contour; transparent background; scalable for 24–512px; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_bergamot,"Vector icon of a bergamot citrus slice: round disk with 8 simple wedge segments and a small leaf nub; irregular rind hint; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_sandalwood,"Vector icon of sandalwood rings: simplified wood growth swirl—two to three nested organic ovals; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_jasmine,"Vector icon of a jasmine blossom: five rounded petals, tiny center dot; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_amber,"Vector icon of a resin droplet: teardrop silhouette with single inner cutout; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_vanilla,"Vector icon of a vanilla pod + small blossom: curved pod crossing a simple five-petal flower; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_patchouli,"Vector icon of a broad patchouli leaf: heart-like silhouette with one mid-vein cut; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_rose,"Vector icon of a rose rosette: spiral petal mark made of 3–4 concentric soft arcs; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_vetiver,"Vector icon of vetiver tuft: 5–7 thin curved blades rising from a small base; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_mandarin_orange,"Vector icon of a mandarin crescent segment with dotty pulp hint; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_lemon,"Vector icon of a lemon slice with 6 wedge divisions; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_cedarwood,"Vector icon of cedarwood shavings: two curled ribbon shapes forming a C-like swirl; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_tonka_bean,"Vector icon of two overlapping oval seeds (tonka beans); slight asymmetry; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_cedar,"Vector icon of a trunk cross-section: circle with 3 subtle inner growth rings; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_lily_of_the_valley,"Vector icon of lily-of-the-valley: slender curved stem with 3–4 bell blossoms; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_lavender,"Vector icon of a lavender sprig: single stalk with stacked oval buds; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_orange_blossom,"Vector icon of an orange blossom: five-petal flower with tiny center dot and a small leaf; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_iris,"Vector icon of an iris: three flowing petals (one up, two down); flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_ylang_ylang,"Vector icon of ylang-ylang: long curling petals radiating from center; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_cardamom,"Vector icon of a cardamom pod: almond-shaped capsule with a single seam cut; optional tiny seed cutout; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_sichuan_pepper,"Vector icon of Sichuan pepper: open starry husk with a small bead; simplified lobes; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_neroli,"Vector icon of neroli blossom cluster: two small five-petal flowers with a leaf; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_tobacco_leaf,"Vector icon of a large tobacco leaf silhouette with single mid-vein cut; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_incense,"Vector icon of incense smoke: S-curve wisp rising from a tiny base line; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_juniper_berries,"Vector icon of two berries with a short needle cluster; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_leather,"Vector icon of a folded leather swatch: rounded rectangle with one corner curl; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_cypriol_oil,"Vector icon of cypriol roots: small tuft of thin, uneven strands fanning from base; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_peach,"Vector icon of a peach with leaf: round silhouette and single crease line; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
moodnose_icon_apple,"Vector icon of an apple with stem and leaf: simple round shape with tiny notch; flat fill; clean contour; transparent background; Moodnose Essence Icon style.",1:1,Graphic
