prompt_id,prompt_text
musk,"Photorealistic macro photo of soft white cotton or fluffy musk texture representing musk accord, smooth organic folds, diffused daylight, neutral tones, isolated on transparent background, centered, elegant editorial fragrance photography style."
bergamot,"Photorealistic image of whole and sliced bergamot fruit with leaves, showing bumpy green-yellow rind and juicy interior, diffused daylight, transparent background, full fruit visible, soft shadow, premium editorial look."
sandalwood,"Photorealistic macro photo of sandalwood wood pieces and powder, warm beige-brown tone, fine grain texture, soft daylight lighting, transparent background, natural arrangement, elegant minimal product photo."
jasmine,"Photorealistic botanical photo of jasmine blossoms and green leaves, small white flowers with delicate petals, diffused daylight, transparent background, centered composition, crisp focus, gentle shadow."
amber,"Photorealistic image of amber resin chunks glowing warm honey-gold under soft diffused light, isolated on transparent background, visible texture and translucency, elegant fragrance ingredient photography style."
vanilla,"Realistic photo of vanilla pods and blossom, full visible pods crossing diagonally, soft matte studio lighting, transparent background, gentle shadow, rich brown and cream tones, premium minimal aesthetic."
patchouli,"Photorealistic macro photo of patchouli leaves, broad green texture with visible veins, fresh daylight, isolated on transparent background, crisp focus, natural botanical presentation."
rose,"Realistic photograph of a soft pink rose in bloom, full flower visible from top view, diffused daylight, transparent background, subtle natural shadow, elegant modern product photography look."
vetiver,"Photorealistic close-up of vetiver roots and green blades, natural earthy tone, soft daylight, transparent background, full strands visible, crisp texture, fragrance ingredient macro."
mandarin_orange,"Photorealistic macro of whole and sliced mandarin orange with peel texture, warm daylight tone, transparent background, clean shadow, juicy editorial look."
lemon,"Photorealistic photo of whole and cut lemon with leaves, fresh yellow tones, clean background, soft shadow, transparent background, crisp editorial lighting."
cedarwood,"Photorealistic macro of cedarwood shavings and bark texture, warm brown tone, soft daylight lighting, isolated on transparent background, tactile editorial look."
tonka_bean,"Realistic photo of tonka beans, full seeds clearly visible, rich dark brown with fine wrinkles, matte diffused light, transparent background, subtle shadow, premium fragrance product photo."
cedar,"Photorealistic macro photo of cedar branches with small cones, natural green and brown hues, diffused daylight, transparent background, clean minimal composition."
lily_of_the_valley,"Photorealistic botanical image of lily of the valley flowers on slender green stem, white bell blossoms visible, soft daylight, transparent background, elegant and airy composition."
lavender,"Photorealistic image of lavender sprigs, purple flower clusters, natural daylight, transparent background, minimal clean presentation."
orange_blossom,"Photorealistic photo of orange blossoms and green leaves, white petals with yellow centers, diffused daylight, transparent background, elegant floral ingredient imagery."
iris,"Realistic macro photo of iris flower with soft lilac-blue petals, matte daylight, transparent background, gentle shadow, refined fragrance photography look."
ylang_ylang,"Photorealistic botanical image of ylang-ylang flowers, yellow curling petals, green leaves, diffused daylight, transparent background, soft natural shadow."
cardamom,"Photorealistic photo of green cardamom pods, some open showing black seeds, diffused daylight, transparent background, clean natural composition, soft shadow."
sichuan_pepper,"Macro photograph of fresh Sichuan pepper berries and open pods, warm brown-red tones, diffused daylight, isolated on transparent background, full visible cluster."
neroli,"Photorealistic botanical photo of neroli blossoms and small green leaves, white petals, diffused daylight, transparent background, crisp and pure editorial look."
