prompt_id,prompt_text,aspect_ratio,style
tonwerk_audio_xylophone,"3D clay model illustration of an elegant xylophone with wooden keys arranged in rainbow gradient from warm orange to purple. Soft rounded edges, matte clay texture, sitting on simple curved legs. Warm peach and cream tones dominate. Diffused studio lighting, transparent background, cozy and playful style.",1:1,Illustration
tonwerk_audio_vintage_microphone,"3D clay model of a vintage broadcast microphone, 18cm tall, classic streamlined design with rounded base and cylindrical body. Warm orange and cream colors with peach accents. Matte clay finish, soft shadows, professional but playful look. Transparent background.",1:1,Illustration
tonwerk_audio_crown_microphone,"3D clay model illustration of ornate golden crown (8cm height) sitting atop a vintage microphone. Crown features soft rounded points and warm orange-to-gold gradient. Microphone is cream colored with peach highlights. Playful king of audio concept. Matte texture, warm lighting, transparent background.",1:1,Illustration
tonwerk_audio_cassette,"3D clay model of retro audio cassette tape with visible reels. Warm orange body with cream-colored label area. Soft rounded corners, matte finish. Nostalgic and cozy feel. Transparent background, studio lighting.",1:1,Illustration
tonwerk_audio_headphones,"3D clay model of modern over-ear headphones with chunky rounded design. Warm orange ear cups with cream-colored headband. Soft matte texture, cozy proportions, slightly exaggerated size for playful look. Transparent background.",1:1,Illustration
tonwerk_audio_vintage_radio,"3D clay model of 1950s-style table radio with rounded corners and soft antenna. Warm orange-brown body with cream-colored dial face. Circular speaker grille pattern. Matte clay finish, nostalgic and warm feel. Transparent background.",1:1,Illustration
tonwerk_culture_cuckoo_clock,"3D clay model of traditional Black Forest cuckoo clock, 20cm tall, with characteristic house shape and carved decorations. Warm brown and orange tones with cream details. Soft rounded edges, matte clay texture. Cozy and whimsical interpretation of German cultural icon. Transparent background.",1:1,Illustration
tonwerk_culture_pretzel,"3D clay model of giant twisted pretzel, 20cm wide, with characteristic knot shape. Warm brown dough color with white salt crystals as small clay dots. Soft rounded form, matte texture, appetizing and playful look. Transparent background, soft lighting.",1:1,Illustration
tonwerk_culture_beer_stein,"3D clay model of traditional German beer stein with lid, featuring soft rounded form and decorative details. Cream-colored ceramic body with warm orange-brown lid and handle. Matte clay finish, cozy tavern atmosphere. Transparent background.",1:1,Illustration
tonwerk_culture_traditional_outfit,"3D clay model miniature set showing traditional Bavarian lederhosen and dirndl outfit elements. Soft rounded forms, warm brown leather tones with cream and peach fabric accents. Playful and respectful cultural representation. Matte texture, transparent background.",1:1,Illustration
tonwerk_creative_workshop_scene,"3D clay model illustration of miniature cozy workshop interior, 15cm wide. Small workbench with tools, warm lighting from tiny window, shelves with creative supplies. Warm orange, cream, and brown tones. Detailed but soft, inviting craftsman atmosphere. Transparent or warm gradient background.",16:9,Illustration
