prompt_id,prompt_text,aspect_ratio,style
moodnose_musk,"Photorealistic macro photo of soft white cotton or fluffy musk texture representing musk accord, smooth organic folds, diffused daylight, neutral tones, isolated on transparent background, centered, elegant editorial fragrance photography style.",1:1,Photo
moodnose_bergamot,"Photorealistic image of whole and sliced bergamot fruit with leaves, showing bumpy green-yellow rind and juicy interior, diffused daylight, transparent background, full fruit visible, soft shadow, premium editorial look.",1:1,Photo
moodnose_sandalwood,"Photorealistic macro photo of sandalwood wood pieces and powder, warm beige-brown tone, fine grain texture, soft daylight lighting, transparent background, natural arrangement, elegant minimal product photo.",1:1,Photo
moodnose_jasmine,"Photorealistic botanical photo of jasmine blossoms and green leaves, small white flowers with delicate petals, diffused daylight, transparent background, centered composition, crisp focus, gentle shadow.",1:1,Photo
moodnose_amber,"Photorealistic image of amber resin chunks glowing warm honey-gold under soft diffused light, isolated on transparent background, visible texture and translucency, elegant fragrance ingredient photography style.",1:1,Photo
moodnose_vanilla,"Realistic photo of vanilla pods and blossom, full visible pods crossing diagonally, soft matte studio lighting, transparent background, gentle shadow, rich brown and cream tones, premium minimal aesthetic.",1:1,Photo
moodnose_patchouli,"Photorealistic macro photo of patchouli leaves, broad green texture with visible veins, fresh daylight, isolated on transparent background, crisp focus, natural botanical presentation.",1:1,Photo
moodnose_rose,"Realistic photograph of a soft pink rose in bloom, full flower visible from top view, diffused daylight, transparent background, subtle natural shadow, elegant modern product photography look.",1:1,Photo
moodnose_vetiver,"Photorealistic close-up of vetiver roots and green blades, natural earthy tone, soft daylight, transparent background, full strands visible, crisp texture, fragrance ingredient macro.",1:1,Photo
moodnose_mandarin_orange,"Photorealistic macro of whole and sliced mandarin orange with peel texture, warm daylight tone, transparent background, clean shadow, juicy editorial look.",1:1,Photo
moodnose_lemon,"Photorealistic photo of whole and cut lemon with leaves, fresh yellow tones, clean background, soft shadow, transparent background, crisp editorial lighting.",1:1,Photo
moodnose_cedarwood,"Photorealistic macro of cedarwood shavings and bark texture, warm brown tone, soft daylight lighting, isolated on transparent background, tactile editorial look.",1:1,Photo
moodnose_tonka_bean,"Realistic photo of tonka beans, full seeds clearly visible, rich dark brown with fine wrinkles, matte diffused light, transparent background, subtle shadow, premium fragrance product photo.",1:1,Photo
moodnose_cedar,"Photorealistic macro photo of cedar branches with small cones, natural green and brown hues, diffused daylight, transparent background, clean minimal composition.",1:1,Photo
moodnose_lily_of_the_valley,"Photorealistic botanical image of lily of the valley flowers on slender green stem, white bell blossoms visible, soft daylight, transparent background, elegant and airy composition.",1:1,Photo
moodnose_lavender,"Photorealistic image of lavender sprigs, purple flower clusters, natural daylight, transparent background, minimal clean presentation.",1:1,Photo
moodnose_orange_blossom,"Photorealistic photo of orange blossoms and green leaves, white petals with yellow centers, diffused daylight, transparent background, elegant floral ingredient imagery.",1:1,Photo
moodnose_iris,"Realistic macro photo of iris flower with soft lilac-blue petals, matte daylight, transparent background, gentle shadow, refined fragrance photography look.",1:1,Photo
moodnose_ylang_ylang,"Photorealistic botanical image of ylang-ylang flowers, yellow curling petals, green leaves, diffused daylight, transparent background, soft natural shadow.",1:1,Photo
moodnose_cardamom,"Photorealistic photo of green cardamom pods, some open showing black seeds, diffused daylight, transparent background, clean natural composition, soft shadow.",1:1,Photo
moodnose_sichuan_pepper,"Macro photograph of fresh Sichuan pepper berries and open pods, warm brown-red tones, diffused daylight, isolated on transparent background, full visible cluster.",1:1,Photo
moodnose_neroli,"Photorealistic botanical photo of neroli blossoms and small green leaves, white petals, diffused daylight, transparent background, crisp and pure editorial look.",1:1,Photo
moodnose_tobacco_leaf,"Realistic photograph of dried tobacco leaves, golden-brown color, matte lighting, transparent background, full leaves visible, warm tonal balance.",1:1,Photo
moodnose_incense,"Photorealistic photo of incense smoke rising from a neutral holder, soft curling lines of smoke, diffused daylight, transparent background, minimal editorial style.",1:1,Photo
moodnose_juniper_berries,"Photorealistic close-up of juniper berries with needles, blue-black berries and green sprigs, natural daylight, transparent background, crisp focus.",1:1,Photo
moodnose_leather,"Realistic macro photo of folded tan leather fabric, visible grain texture, soft matte daylight lighting, isolated on transparent background, elegant tactile feel.",1:1,Photo
moodnose_cypriol_oil,"Photorealistic macro of cypriol roots and fibrous brown-green strands, diffused daylight, transparent background, natural earthy tone, dry clean arrangement.",1:1,Photo
moodnose_peach,"Photorealistic macro of ripe peach fruit with slice, natural warm light, soft fuzz texture, transparent background, gentle shadow, minimal editorial look.",1:1,Photo
moodnose_apple,"Photorealistic photo of fresh red apple with cut section, crisp daylight lighting, transparent background, clean composition, modern product photography.",1:1,Photo
moodnose_coconut,"Realistic photo of half-open coconut showing white flesh, matte daylight, transparent background, full visible shape, editorial clean product photography style.",1:1,Photo
moodnose_honey,"Photorealistic image of honey dripping from wooden honey dipper, golden tone, diffused daylight, transparent background, natural smooth texture.",1:1,Photo
moodnose_cinnamon,"Photorealistic macro photo of cinnamon sticks tied with twine, soft daylight, transparent background, warm tones, fragrance ingredient photography style.",1:1,Photo
moodnose_clove,"Realistic close-up of clove buds, warm brown tones, soft matte light, transparent background, natural composition.",1:1,Photo
moodnose_nutmeg,"Photorealistic macro of nutmeg seeds, one whole and one cut open showing pattern, soft daylight, transparent background, clean elegant product style.",1:1,Photo
moodnose_black_pepper,"Photorealistic macro of black peppercorns scattered, sharp daylight, transparent background, crisp editorial style, no cropping.",1:1,Photo
moodnose_pine,"Photorealistic photo of pine branch with green needles and small cone, soft daylight, transparent background, clean isolated composition.",1:1,Photo
moodnose_oakmoss,"Photorealistic macro of oakmoss lichen texture, green-gray tone, soft daylight, transparent background, detailed surface texture visible.",1:1,Photo
moodnose_frankincense,"Photorealistic macro photo of frankincense resin tears, translucent golden color, soft diffused light, transparent background, clean minimal arrangement.",1:1,Photo
moodnose_myrrh,"Photorealistic photo of myrrh resin pieces, amber-brown tone, matte daylight, transparent background, elegant minimal composition.",1:1,Photo
moodnose_labdanum,"Photorealistic macro of labdanum resin chunks, warm brown amber tone, soft daylight, transparent background, natural organic texture visible.",1:1,Photo
moodnose_ambergris,"Photorealistic macro of ambergris piece, gray-beige organic material with rough texture, soft daylight, transparent background, minimal editorial style.",1:1,Photo
moodnose_sea_salt,"Photorealistic macro of sea salt crystals, white translucent texture, soft daylight, transparent background, crisp clean appearance.",1:1,Photo
moodnose_sage,"Photorealistic macro of sage leaves, fuzzy green texture, diffused daylight, transparent background, elegant minimal composition.",1:1,Photo
moodnose_thyme,"Photorealistic macro of thyme sprigs, fine green leaves, soft daylight, transparent background, clean fragrance photography style.",1:1,Photo
moodnose_mint,"Photorealistic macro of mint leaves, bright green texture, fresh daylight, transparent background, crisp editorial look.",1:1,Photo
moodnose_basil,"Photorealistic macro of basil leaves, vivid green color, matte daylight, transparent background, full visible leaves.",1:1,Photo
moodnose_coriander,"Photorealistic macro of coriander seeds, warm golden tone, diffused daylight, transparent background, clean minimal layout.",1:1,Photo
moodnose_star_anise,"Realistic macro photo of star anise pods, rich brown tone, diffused daylight, transparent background, centered composition, crisp focus.",1:1,Photo
moodnose_chocolate,"Photorealistic macro of dark chocolate squares, matte lighting, transparent background, soft shadow, premium editorial style.",1:1,Photo
moodnose_coffee,"Photorealistic macro photo of roasted coffee beans, rich brown tone, soft daylight, transparent background, crisp texture, elegant product look.",1:1,Photo
