prompt_id,prompt_text,aspect_ratio,style
tosaio_blog_nextjs_vs_astro,"Minimal editorial illustration showing two glowing orbs connected by a soft bridge — one labeled 'Next.js' with cool bluish light, one labeled 'Astro' with warm orange-purple gradient. Between them, an abstract bridge of code snippets or circuits. Background: glass panels and light particles, calm and futuristic, hint of production dashboard aesthetic.",16:9,Illustration
tosaio_blog_tailwind_at_scale,"Editorial vector illustration of layered design system sheets floating in 3D space — each labeled subtly with spacing, color, and typography tokens. Center shows a stylized Tailwind 'wind' icon forming consistent grid lines. Soft pastel background with faint glass reflections and blueprint geometry feel.",16:9,Illustration
tosaio_blog_playwright_automation,"Conceptual illustration of a mechanical stage play being run by robotic arms or puppeteer strings — browser windows on small theater stages being tested automatically. Mix of artistic and technical vibe, warm studio lighting with soft shadows and glass UI reflections.",16:9,Illustration
tosaio_blog_api_first_architecture,"Clean architectural diagram-style composition showing two stylized database blocks (PostgREST and Laravel) connected through a glowing pipeline of flowing data. Elements appear as transparent glass blocks with glowing edges, suspended in abstract network space.",16:9,Illustration
tosaio_blog_react_flow_builder,"Editorial scene of colorful nodes and connecting lines forming a dynamic flow diagram on translucent glass panels. Each node glows softly; background features abstract workbench elements and design tools floating in space. Organic and tech-craft hybrid mood.",16:9,Illustration
tosaio_blog_engineering_emotion,"Human-centered composition showing a developer sculpting glowing interface elements by hand, blending emotional design with technical precision. Soft clay-like 3D shapes (buttons, typography, color swatches) around a warm workspace scene with glass reflections.",16:9,Illustration
tosaio_blog_ai_augmented_tools,"Futuristic control desk with floating panels showing AI orchestration flows, code snippets, and VSCode-style interface. Centerpiece: a subtle laurel-shaped glowing AI core (hint to Claudius). Minimal, confident, cinematic lighting on dark glass background.",16:9,Illustration
tosaio_blog_self_hosting_journey,"Cozy yet technical scene: small workshop with glowing servers, Docker containers symbolized as stacked boxes, cables connecting self-contained ecosystems. Tone: 'infrastructure as craft,' warm lighting, industrial yet personal mood.",16:9,Illustration
tosaio_blog_mysql_import_terminal,"Editorial 3D illustration showing a glowing MySQL dolphin swimming through a narrow data pipe (symbolizing import), terminal windows floating like bubbles. Minimal tech humor, clean and visual.",16:9,Illustration
tosaio_blog_learning_hub_astro,"Softly glowing knowledge hub in outer space — an Astro rocket orbiting around floating markdown documents and constellation-like connections between topics. Warm editorial palette with violet-orange hues, clean composition.",16:9,Illustration
tosaio_global_style,"Editorial illustration style with glassmorphism, subtle motion blur, diffused light, minimalist composition, depth through transparency and shadow, warm neutral tones with soft blue/orange accents, clean developer aesthetic inspired by modern design systems. Focus on visual metaphor, not literal realism.",N/A,Style Guide
