prompt_id,prompt_text,aspect_ratio,style
moodnose_ambroxan_photo,"Photorealistic conceptual macro visualization of ambroxan, representing its olfactory character through symbolic materials, crystalline forms, or abstract lighting, soft daylight, transparent background, refined fragrance photography aesthetic.",1:1,Photo
moodnose_iso_e_super_photo,"Photorealistic conceptual macro visualization of iso e super, representing its olfactory character through symbolic materials, crystalline forms, or abstract lighting, soft daylight, transparent background, refined fragrance photography aesthetic.",1:1,Photo
moodnose_hedione_photo,"Photorealistic macro photo of hedione, isolated on transparent background, soft daylight, elegant fragrance ingredient look.",1:1,Photo
moodnose_calone_photo,"Photorealistic macro photo of calone, isolated on transparent background, soft daylight, elegant fragrance ingredient look.",1:1,Photo
moodnose_aldehydes_photo,"Photorealistic conceptual macro visualization of aldehydes, representing its olfactory character through symbolic materials, crystalline forms, or abstract lighting, soft daylight, transparent background, refined fragrance photography aesthetic.",1:1,Photo
moodnose_ambrox_photo,"Photorealistic conceptual macro visualization of ambrox, representing its olfactory character through symbolic materials, crystalline forms, or abstract lighting, soft daylight, transparent background, refined fragrance photography aesthetic.",1:1,Photo
moodnose_ambergris_photo,"Photorealistic macro photo of ambergris, isolated on transparent background, soft daylight, elegant fragrance ingredient look.",1:1,Photo
moodnose_cashmeran_photo,"Photorealistic conceptual macro visualization of cashmeran, representing its olfactory character through symbolic materials, crystalline forms, or abstract lighting, soft daylight, transparent background, refined fragrance photography aesthetic.",1:1,Photo
moodnose_muscone_photo,"Photorealistic macro photo of muscone, isolated on transparent background, soft daylight, elegant fragrance ingredient look.",1:1,Photo
moodnose_cetalox_photo,"Photorealistic conceptual macro visualization of cetalox, representing its olfactory character through symbolic materials, crystalline forms, or abstract lighting, soft daylight, transparent background, refined fragrance photography aesthetic.",1:1,Photo
moodnose_ozone_photo,"Photorealistic conceptual macro visualization of ozone, representing its olfactory character through symbolic materials, crystalline forms, or abstract lighting, soft daylight, transparent background, refined fragrance photography aesthetic.",1:1,Photo
moodnose_metallic_notes_photo,"Photorealistic conceptual macro visualization of metallic notes, representing its olfactory character through symbolic materials, crystalline forms, or abstract lighting, soft daylight, transparent background, refined fragrance photography aesthetic.",1:1,Photo
moodnose_marine_notes_photo,"Photorealistic conceptual macro visualization of marine notes, representing its olfactory character through symbolic materials, crystalline forms, or abstract lighting, soft daylight, transparent background, refined fragrance photography aesthetic.",1:1,Photo
moodnose_seaweed_photo,"Photorealistic conceptual macro visualization of seaweed, representing its olfactory character through symbolic materials, crystalline forms, or abstract lighting, soft daylight, transparent background, refined fragrance photography aesthetic.",1:1,Photo
moodnose_salt_photo,"Photorealistic macro photo of salt, isolated on transparent background, soft daylight, elegant fragrance ingredient look.",1:1,Photo
moodnose_smoke_photo,"Photorealistic macro photo of smoke, isolated on transparent background, soft daylight, elegant fragrance ingredient look.",1:1,Photo
moodnose_tar_photo,"Photorealistic macro photo of tar, isolated on transparent background, soft daylight, elegant fragrance ingredient look.",1:1,Photo
moodnose_birch_tar_photo,"Photorealistic macro photo of birch tar, isolated on transparent background, soft daylight, elegant fragrance ingredient look.",1:1,Photo
