prompt_id,prompt_text,aspect_ratio,style
moodnose_musk_photo,"Photorealistic macro photo of musk ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_bergamot_photo,"Photorealistic macro photo of bergamot ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_sandalwood_photo,"Photorealistic macro photo of sandalwood ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_jasmine_photo,"Photorealistic macro photo of jasmine ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_amber_photo,"Photorealistic macro photo of amber ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_vanilla_photo,"Photorealistic macro photo of vanilla ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_patchouli_photo,"Photorealistic macro photo of patchouli ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_rose_photo,"Photorealistic macro photo of rose ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_vetiver_photo,"Photorealistic macro photo of vetiver ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_lemon_photo,"Photorealistic macro photo of lemon ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_mandarin_orange_photo,"Photorealistic macro photo of mandarin orange ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_cedarwood_photo,"Photorealistic macro photo of cedarwood ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_tonka_bean_photo,"Photorealistic macro photo of tonka bean ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_cedar_photo,"Photorealistic macro photo of cedar ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_lily_of_the_valley_photo,"Photorealistic macro photo of lily of the valley ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_lavender_photo,"Photorealistic macro photo of lavender ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_orange_blossom_photo,"Photorealistic macro photo of orange blossom ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
moodnose_iris_photo,"Photorealistic macro photo of iris ingredient, soft daylight, transparent background, elegant fragrance product photography.",1:1,Photo
