prompt_id,prompt_text,aspect_ratio,style
moodnose_musk_icon,"Editorial minimal vector icon of musk, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_bergamot_icon,"Editorial minimal vector icon of bergamot, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_sandalwood_icon,"Editorial minimal vector icon of sandalwood, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_jasmine_icon,"Editorial minimal vector icon of jasmine, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_amber_icon,"Editorial minimal vector icon of amber, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_vanilla_icon,"Editorial minimal vector icon of vanilla, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_patchouli_icon,"Editorial minimal vector icon of patchouli, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_rose_icon,"Editorial minimal vector icon of rose, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_vetiver_icon,"Editorial minimal vector icon of vetiver, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_lemon_icon,"Editorial minimal vector icon of lemon, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_mandarin_orange_icon,"Editorial minimal vector icon of mandarin orange, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_cedarwood_icon,"Editorial minimal vector icon of cedarwood, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_tonka_bean_icon,"Editorial minimal vector icon of tonka bean, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_cedar_icon,"Editorial minimal vector icon of cedar, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_lily_of_the_valley_icon,"Editorial minimal vector icon of lily of the valley, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_lavender_icon,"Editorial minimal vector icon of lavender, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_orange_blossom_icon,"Editorial minimal vector icon of orange blossom, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
moodnose_iris_icon,"Editorial minimal vector icon of iris, flat fill, clean contour, transparent background, Moodnose Essence Icon style.",1:1,Graphic
